Kills/Deaths,Assists,Gold,Damage Dealt to Champs,Damage Taken,Wards Placed,CS,Voidgrubs,Baron,Dragon,Rift Herald,Towers,Inhibitor,Win
-21,-31,-15379,-20668,9671,4,-94,-3,0,0,-1,-9,-1,0
12,37,9238,33640,-28546,20,8,2,1,3,1,8,2,1
15,30,1208,39209,-32317,51,-67,4,0,2,1,-2,0,0
19,30,12024,34877,-20855,-4,73,0,1,2,1,6,2,1
-21,-17,-13603,798,-21203,20,-73,6,-1,-3,-1,-6,-1,0
9,13,8488,9592,7021,98,-8,3,1,5,1,7,3,1
-9,-4,-12046,-18819,8010,22,-140,-3,0,1,-1,-9,-2,0
11,21,4465,10882,-17894,16,-136,-2,1,4,1,5,1,1
-21,9,-12448,-24036,4397,-12,-212,5,0,-3,-1,-7,-2,0
14,28,8263,16744,-7935,8,-34,0,1,0,-1,2,2,1
-15,-5,-12270,-17273,-10770,-7,-129,3,-1,-4,-1,-11,-3,0
5,-2,10399,21669,-20891,4,49,-2,1,1,1,10,3,1
-35,-46,-14081,-28721,23795,17,-61,-3,0,-2,-1,-4,-1,0
-4,30,2908,-8473,-750,15,21,3,0,-5,1,1,0,1
-15,-32,-10800,-27653,15720,9,-157,6,0,-3,1,-4,-1,0
12,32,9848,24305,-4358,33,64,-6,0,4,0,8,2,1
-16,16,-9385,-21720,13750,3,-142,-2,0,-2,-1,-2,0,0
2,25,5507,-6264,404,-5,102,-1,0,-2,-1,0,1,1
-11,-24,-5027,-41045,10312,4,-34,-3,0,-2,1,8,3,0
23,41,13283,32222,-15003,13,86,-1,0,4,1,9,1,1
-3,19,-821,12608,-14903,-14,-75,3,-1,0,-1,-3,-2,0
18,23,7206,22404,-9463,-29,-48,6,0,3,-1,7,3,1
-34,-29,-18278,-44030,33788,8,-199,0,0,-1,-1,-9,-1,0
9,32,6245,39330,-48375,33,65,6,0,-2,0,3,1,1
-18,-16,-12253,-12906,10244,-3,-119,3,0,0,0,-4,0,0
21,33,2760,25359,-10535,7,-87,0,-1,2,2,4,2,1
-10,-8,-9269,-43287,23116,-4,-166,0,-1,-1,-1,-7,-1,0
23,24,14261,32351,-24913,5,118,0,1,2,0,11,3,1
-28,-29,-11254,-52941,46254,-13,-88,0,-1,-3,-1,-6,-2,0
24,23,17683,23358,-13443,6,71,0,1,3,2,11,3,1
